,position,PLAYER_ID
0,Guard,1630243
0,Center,1628386
0,Guard,1629014
0,Forward,1628391
0,Center,1630549
0,Forward,202324
0,Guard,1630581
0,Guard,202689
0,Center,203994
0,Center-Forward,1629646
0,Guard-Forward,1629026
0,Guard-Forward,1629660
0,Guard,1629652
0,Forward,1630218
0,Center-Forward,203457
0,Forward,1628382
0,Forward-Center,203488
0,Guard,202339
0,Guard,1629619
0,Guard,1630206
0,Forward-Guard,204060
0,Guard,203078
0,Guard,1630199
0,Forward-Guard,1629642
0,Guard,1629056
0,Guard-Forward,203501
0,Center,1630250
0,Guard,1627756
0,Guard,1628366
0,Center-Forward,1626167
0,Forward-Center,203469
0,Forward,1630237
0,Guard-Forward,1629610
0,Forward,1628238
0,Center-Forward,1629626
0,Guard-Forward,1630207
0,Guard,1630637
0,Forward-Guard,1629686
0,Guard,1629682
0,Guard,203081
0,Guard,1630179
0,Forward,1630602
0,Guard,1630555
0,Guard,1630692
0,Forward-Guard,1628990
0,Guard,201937
0,Forward-Guard,1629644
0,Guard,1630585
0,Guard,1630531
0,Guard,1629788
0,Forward,1630643
0,Guard,201565
0,Guard,1630575
0,Guard,1630184
0,Guard,1630525
0,Forward,1630647
0,Guard,1630241
0,Forward-Center,1626163
0,Guard-Forward,203925
0,Guard,1629012
0,Forward,1629008
